port_id,port_name,country_code,water_body,latitude,longitude
10130,Isabela De Sagua,Cuba,Straits of Florida; North Atlantic Ocean,22.95,-80
10710,Port Antonio,Jamaica,Caribbean Sea; North Atlantic Ocean,18.183333,-76.45
10860,Miragoane,Haiti,Caribbean Sea; North Atlantic Ocean,18.45,-73.083333
30400,Alborg,Denmark,Kattegat; North Atlantic Ocean,57.05,9.933333
10230,Antilla,Cuba,North Atlantic Ocean,20.833333,-75.733333
23817,Fagerstrand,Norway,Skagerrak; North Atlantic Ocean,59.73305556,10.58472222
24040,Falkenberg,Sweden,Kattegat; North Atlantic Ocean,56.88166667,12.46611111
23640,Kragero,Norway,Skagerrak; North Atlantic Ocean,58.86361111,9.413055556
23970,Lysekil,Sweden,Skagerrak; North Atlantic Ocean,58.27138889,11.44416667
11380,Gustavia,Guadeloupe,Caribbean Sea; North Atlantic Ocean,17.9,-62.85
30290,Grenaa Havn,Denmark,Kattegat; North Atlantic Ocean,56.416667,10.933333
23550,Kristiansand,Norway,Skagerrak; North Atlantic Ocean,58.13888889,8.012777778
10110,Matanzas,Cuba,Straits of Florida; North Atlantic Ocean,23.05,-81.55
10600,Lucea,Jamaica,Caribbean Sea; North Atlantic Ocean,18.45,-78.166667
54030,Melbourne,Australia,Bass Strait; South Pacific Ocean,-37.833333,144.966667
53490,Brisbane,Australia,South Pacific Ocean,-27.466667,153.033333
11040,Santo Domingo,Dominican Republic,Caribbean Sea; North Atlantic Ocean,18.466667,-69.883333
10980,Puerto Plata,Dominican Republic,North Atlantic Ocean,19.8,-70.7
54140,Portland,Australia,Indian Ocean,-38.333333,141.6
10250,Felton,Cuba,North Atlantic Ocean,20.733333,-75.6
23850,Halden,Norway,Skagerrak; North Atlantic Ocean,59.116667,11.383333
10158,Manati,Cuba,North Atlantic Ocean,21.366667,-76.816667
11070,Santa Cruz De Barahona,Dominican Republic,Caribbean Sea; North Atlantic Ocean,18.2,-71.083333
23870,Stromstad,Sweden,Skagerrak; North Atlantic Ocean,58.933333,11.166667
10100,Bahai De La Habana,Cuba,Gulf of Mexico; North Atlantic Ocean,23.133333,-82.366667
30440,Skagen Havn,Denmark,Kattegat; North Atlantic Ocean,57.716667,10.6
23530,Mandal,Norway,North Sea; North Atlantic Ocean,58.016667,7.466667
23823,Tofte,Norway,Skagerrak; North Atlantic Ocean,59.54416667,10.57055556
54050,Geelong,Australia,Bass Strait; South Pacific Ocean,-38.15,144.366667
10270,Bahia De Sagua De Tanamo,Cuba,North Atlantic Ocean,20.683333,-75.333333
10770,Kingston,Jamaica,Caribbean Sea; North Atlantic Ocean,17.966667,-76.783333
53450,Gladstone,Australia,Coral Sea; South Pacific Ocean,-23.85,151.25
10930,Cap Haitien,Haiti,North Atlantic Ocean,19.766667,-72.2
10150,Nuevitas Bay,Cuba,North Atlantic Ocean,21.55,-77.266667
9985,Freeport,The Bahamas,North Atlantic Ocean,26.516667,-78.783333
10820,Jacmel,Haiti,Caribbean Sea; North Atlantic Ocean,18.233333,-72.533333
11370,Philipsburg,Sint Maarten,Caribbean Sea; North Atlantic Ocean,18.016667,-63.05
53400,Mackay,Australia,Coral Sea; South Pacific Ocean,-21.116667,149.216667
635,Faeringehavn,Greenland,Labrador Sea; North Atlantic Ocean,63.68333333,-51.51666667
11530,Portsmouth,Dominica,Caribbean Sea; North Atlantic Ocean,15.566667,-61.466667
30340,Hadsund,Denmark,Kattegat; North Atlantic Ocean,56.716667,10.116667
10880,Port Au Prince,Haiti,Caribbean Sea; North Atlantic Ocean,18.55,-72.35
10080,Cabanas,Cuba,Gulf of Mexico; North Atlantic Ocean,23,-82.966667
11520,Roseau,Dominica,Caribbean Sea; North Atlantic Ocean,15.3,-61.4
10580,Georgetown,Cayman Islands,Caribbean Sea; North Atlantic Ocean,19.3,-81.383333
23736,Slagenstangen,Norway,Skagerrak; North Atlantic Ocean,59.32777778,10.51944444
11350,Road Harbor,British Virgin Islands,Caribbean Sea; North Atlantic Ocean,18.416667,-64.616667
10460,Manzanillo,Cuba,Caribbean Sea; North Atlantic Ocean,20.35,-77.116667
9987,South Riding Point,The Bahamas,North Atlantic Ocean,26.616667,-78.216667
11630,Castries,Saint Lucia,Caribbean Sea; North Atlantic Ocean,14.016667,-61
53650,Sydney,Australia,Tasman Sea; South Pacific Ocean,-33.866667,151.2
53440,Port Alma,Australia,Coral Sea; South Pacific Ocean,-23.583333,150.85
10660,Ocho Rios,Jamaica,Caribbean Sea; North Atlantic Ocean,18.416667,-77.116667
10090,Mariel,Cuba,Gulf of Mexico; North Atlantic Ocean,22.983333,-82.75
24000,Stenungsund,Sweden,Kattegat; North Atlantic Ocean,58.07972222,11.8
10540,Cienfuegos,Cuba,Caribbean Sea; North Atlantic Ocean,22.15,-80.45
10530,Casilda,Cuba,Caribbean Sea; North Atlantic Ocean,21.75,-79.983333
53610,Newcastle,Australia,Tasman Sea; South Pacific Ocean,-32.916667,151.783333
11640,Kingstown,Saint Vincent and the Grenadines (Windward Islands),Caribbean Sea; North Atlantic Ocean,13.15,-61.233333
11020,La Romana,Dominican Republic,Caribbean Sea; North Atlantic Ocean,18.416667,-68.966667
9990,Nassau,The Bahamas,North Atlantic Ocean,25.083333,-77.35
10470,Guayabal,Cuba,Caribbean Sea; North Atlantic Ocean,20.7,-77.616667
40,Thorlakshofn,Iceland,North Atlantic Ocean,63.85,-21.36666667
230,Skagastrond,Iceland,Greenland Sea; Arctic Ocean,65.81666667,-20.31666667
340,Raufarhofn,Iceland,Greenland Sea; Arctic Ocean,66.45,-15.93333333
465,Djupivogur,Iceland,North Atlantic Ocean,64.66666667,-14.28333333
900,Uummannaq,Greenland,Baffin Bay; Arctic Ocean,70.66666667,-52.11666667
360,Vopnafjordur,Iceland,Norwegian Sea; North Atlantic Ocean,65.75,-14.81666667
350,Thorshofn,Iceland,Greenland Sea; Arctic Ocean,66.2,-15.33333333
400,Seydisfjordur,Iceland,Norwegian Sea; North Atlantic Ocean,65.26666667,-14
65,Grindavik,Iceland,North Atlantic Ocean,63.83333333,-22.43333333
315,Grenivik,Iceland,Greenland Sea; Arctic Ocean,65.95,-18.18333333
540,Ammassalik,Greenland,North Atlantic Ocean,65.61666667,-37.61666667
453,Faskrudsfjordur,Iceland,North Atlantic Ocean,64.91666667,-14.01666667
72,Helguvik,Iceland,North Atlantic Ocean,64.01666667,-22.55
210,Hvammstangi,Iceland,Greenland Sea; Arctic Ocean,65.4,-20.95
680,Soendre Stroemfjord,Greenland,Davis Strait; North Atlantic Ocean,66.95,-50.95
85,Kopavogur,Iceland,North Atlantic Ocean,64.11666667,-21.95
580,Qaqortoq,Greenland,Labrador Sea; North Atlantic Ocean,60.71666667,-46.03333333
